001,AMACUZAC
002,ATLATLAHUCAN
003,AXOCHIAPAN
004,AYALA
005,COATLAN DEL RIO
006,CUAUTLA
007,CUERNAVACA
008,EMILIANO ZAPATA
009,HUITZILAC
010,JANTETELCO
011,JIUTEPEC
012,JOJUTLA
013,JONACATEPEC DE LEANDRO VALLE
014,MAZATEPEC
015,MIACATLAN
016,OCUITUCO
017,PUENTE DE IXTLA
018,TEMIXCO
019,TEPALCINGO
020,TEPOZTLAN
021,TETECALA
022,TETELA DEL VOLCAN
023,TLALNEPANTLA
024,TLALTIZAPAN DE ZAPATA
025,TLAQUILTENANGO
026,TLAYACAPAN
027,TOTOLAPAN
028,XOCHITEPEC
029,YAUTEPEC
030,YECAPIXTLA
031,ZACATEPEC
032,ZACUALPAN DE AMILPAS
033,TEMOAC
